Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Leguizamon, M.; Trujillo, P.; Hett, K.; McKnight, C.D.; Ponzo, T.; Elenberger, J.; Song, A.K.; Bridges, C.; Yan, B.; Kang, H.; Donahue, M.J.; Claassen, D.O.; Considine, C.M.","Leguizamon, Melanie (58887842700); Trujillo, Paula (57038630300); Hett, Kilian (57191710308); McKnight, Colin David (56090157600); Ponzo, Tristan (60401888200); Elenberger, Jason M. (57219782844); Song, Alexander K. (57383924900); Bridges, Colleen (58053127000); Yan, Bailu (58671405400); Kang, Hakmook (60136243500); Donahue, Manus Joseph (7102453283); Claassen, Daniel O. (22978763800); Considine, Ciaran Michael (48360961900)",58887842700; 57038630300; 57191710308; 56090157600; 60401888200; 57219782844; 57383924900; 58053127000; 58671405400; 60136243500; 7102453283; 22978763800; 48360961900,Cognitive and Motor Improvements Correlated with Sleep and Activity Following Community-Based Non-contact Boxing in Patients with Parkinson Disease,2026,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,41,2,,,,0,10.1093/arclin/acaf097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030292787&doi=10.1093%2Farclin%2Facaf097&partnerID=40&md5=ca6edfa903922737334c7590015342bc,"OBJECTIVE: To evaluate the feasibility of a 12-week community-based, non-contact rock-steady-boxing (RSB) program in individuals with Parkinson disease (PD) and to assess potential improvements in motor and cognitive functioning after intervention. METHOD: Over 12 weeks, 26 PD participants completed 24 RSB classes. Motor and cognitive assessments were conducted at baseline and follow-up, with a sub-group (n = 14) wearing clinical actigraphy. Linear mixed-effects models investigated compliance and changes in motor and cognitive functions. Multiple linear regression assessed correlations of clinical changes with clinicodemographic factors and actigraphy variables (two-sided p < .05). RESULTS: PD participants showed significantly improved motor performance on the Mini Balance Evaluation Systems Test following RSB (p < .01, β = 0.69, 95% C.I. [0.40, 0.99]). No significant cognitive improvements were observed after false discovery correction, though higher scores with moderate effect sizes were suggested on HVLT-Total Recall (p = .23, β = 0.30, 95% C.I. [0.033, 0.58]), HVLT-Delayed Recall (p = .23, β = 0.25, 95% C.I. [0.03,0.46]), Stroop-Color (p = .23, β = 0.26, 95% C.I. [0.04, 0.48]), and Stroop-Interference tests (p = .15, β = 0.39, 95% C.I. [0.13, 0.64]). No significant changes were observed for actigraphy-based activity and sleep metrics. Exploratory analysis provided effect sizes and confidence intervals of associations between actigraphy variables and clinical assessments. CONCLUSIONS: RSB intervention led to better motor functioning and potential, though uncertain, cognitive benefits independent of age, sex, or disease severity. Cautious interpretation of exploratory analyses suggests changes in activity and sleep may relate to motor and cognitive changes following RSB. Findings support compliance with RSB in PD and motivate larger, randomized trials investigating the role of exercise in facilitating PD symptom improvement. © The Author(s) 2025. Published by Oxford University Press.",Actigraphy; Boxing; Cognition; Exercise; Parkinson disease; Sleep,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105030292787
"Hett, K.; Dubois, A.; Leguizamon, M.; Song, A.K.; Trujillo, P.; McKnight, C.D.; Considine, C.M.; Donahue, M.J.; Claassen, D.O.","Hett, Kilian (57191710308); Dubois, Abigail R. (59986773300); Leguizamon, Melanie (58887842700); Song, Alexander K. (57383924900); Trujillo, Paula (57038630300); McKnight, Colin David (56090157600); Considine, Ciaran Michael (48360961900); Donahue, Manus Joseph (7102453283); Claassen, Daniel O. (22978763800)",57191710308; 59986773300; 58887842700; 57383924900; 57038630300; 56090157600; 48360961900; 7102453283; 22978763800,Functional and Structural Evidence of Neurofluid Circuit Aberrations in Huntington Disease,2026,Annals of Clinical and Translational Neurology,,,,,,0,10.1002/acn3.70328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029019020&doi=10.1002%2Facn3.70328&partnerID=40&md5=c3ba22f13f6ef6733413aad7f8fd3a5e,"Objective: Disrupted neurofluid regulation may contribute to neurodegeneration in Huntington disease (HD). Because neurofluid pathways influence waste clearance, inflammation, and the distribution of central nervous system (CNS)–delivered therapeutics, understanding their dysfunction is increasingly important as targeted treatments emerge. We aimed to evaluate structural and physiological changes in two key neurofluid components, the choroid plexus (ChP), which produces cerebrospinal fluid (CSF), and the parasagittal dural (PSD) space, a major CSF outflow pathway, across the HD spectrum and in relation to CSF flow dynamics. Methods: PSD and ChP volumes were assessed using a validated deep learning pipeline on 3-Tesla T<inf>2</inf>-weighted and FLAIR MRI. CSF flow at the cerebral aqueduct was measured with phase contrast MRI, and ChP perfusion was quantified using pseudo-continuous arterial spin labeling MRI. Linear regression models assessed the relationships between PSD and ChP volume, CSF flow kinetics, ChP hemodynamics, disease severity, disease exposure, and disease presentation, adjusting for age, sex, and intracranial volume. Results: 80 HD participants and 65 age-matched healthy controls were included. HD showed significantly larger ChP and PSD volumes (p < 0.01) and reduced ChP perfusion (p < 0.01). Greater CAG repeat expansion correlated with larger PSD and ChP volume and lower ChP perfusion (p < 0.01). These alterations were associated with worse motor impairment (p < 0.01). Interpretation: HD is associated with structural and functional alterations in neurofluid pathways. These findings suggest relevance for disease mechanisms and for optimizing CSF-based therapeutic delivery, highlighting the need for further mechanistic studies. © 2026 The Author(s). Annals of Clinical and Translational Neurology published by Wiley Periodicals LLC on behalf of American Neurological Association.",choroid plexus; CSF; Huntington disease; parasagittal dural space,Article,aip,All Open Access; Gold Open Access,Scopus,2-s2.0-105029019020
"Lyu, H.; He, N.; Wu, B.; Trujillo, P.; Yan, F.; Lu, Y.; Haacke, E.","Lyu, Haiying (58175887400); He, Naying (55978144300); Wu, Bo (60026116600); Trujillo, Paula (57038630300); Yan, Fuhua (55668864500); Lu, Yong (55506478500); Haacke, Ewart Mark (57203214712)",58175887400; 55978144300; 60026116600; 57038630300; 55668864500; 55506478500; 57203214712,Optimizing the visualization of the locus coeruleus using magnetization transfer contrast 3D imaging,2025,NeuroImage,318,,121372,,,1,10.1016/j.neuroimage.2025.121372,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012380832&doi=10.1016%2Fj.neuroimage.2025.121372&partnerID=40&md5=1514cce19c29b27ee5eedab3b3318865,"Background: The locus coeruleus (LC) is a key noradrenergic nucleus of the brain. Its dysfunction is implicated in neurodegenerative diseases like Alzheimer's disease and Parkinson's disease, as well as in psychiatric disorders. However, imaging the LC with sufficient contrast-to-noise ratio (CNR) is challenging due to its small size and deep location in the brainstem. This study optimizes a 3D gradient echo (GRE) sequence with magnetization transfer contrast (MTC) to enable rapid, high-resolution LC imaging in under five minutes. Methods: A high-resolution 3D-GRE-MTC sequence was optimized on a 3T scanner in 11 healthy volunteers (6 young and 5 older adults). Tissue properties were measured using in vivo MRI data, and simulations were performed to identify the optimal flip angle. LC visualization was evaluated by two independent raters using relative contrast ratio (rCR) and CNR. The diameter and the length of the LC were also evaluated. Each volunteer underwent MRI sessions over three days to assess test-retest reliability. The intra-class correlation coefficient (ICC) for inter-rater reliability and the mean ± standard deviation of LC rCR across sessions for test-retest reproducibility were calculated. Results: A total of 98 scans were collected. The optimized protocol achieved 0.67 × 0.73 × 2 mm³ resolution with an 18° flip angle, 6.18 ms first echo, 52 ms repetition time, flow compensation, arterial suppression, and strict head immobilization. The LC exhibited a CNR of 8.27 ± 1.03, and rCR of 16.70% ± 1.77% (left) and 13.97% ± 2.19% (right), with good inter-rater reliability (ICC = 88.51%). Contrast stability between scans had a variability of 4%-11%. The bilateral LC was visible across 3–6 slices (6–12 mm). Using the full width at quarter maximum measure, the LC diameter was 1.94 ± 0.40 mm for the left side and 1.67 ± 0.34 mm for the right side. Conclusion: The optimized protocol enabled reliable, high-resolution LC imaging in under five minutes, providing a valuable tool for clinical and research applications. © 2025",Locus coeruleus; Magnetization transfer contrast; Neuromelanin-sensitive MRI; Reliability of LC contrast,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105012380832
"Trujillo, P.; Hett, K.; Cooper, A.; Brown, A.E.; Iregui, J.; Donahue, M.J.; Landman, M.E.; Biaggioni, I.; Bradbury, M.; Wong, C.; Stamler, D.; Claassen, D.O.","Trujillo, Paula (57038630300); Hett, Kilian (57191710308); Cooper, Amy (59515129500); Brown, Amy E. (58142856800); Iregui, Jessica (59998591400); Donahue, Manus Joseph (7102453283); Landman, M. Erik (59998157600); Biaggioni, Italo O. (7005540023); Bradbury, Margaret (59997711600); Wong, Cynthia (59998301300); Stamler, David A. (57201317171); Claassen, Daniel O. (22978763800)",57038630300; 57191710308; 59515129500; 58142856800; 59998591400; 7102453283; 59998157600; 7005540023; 59997711600; 59998301300; 57201317171; 22978763800,The MSA Atrophy Index (MSA-AI): An Imaging Marker for Diagnosis and Clinical Progression in Multiple System Atrophy,2025,Annals of Clinical and Translational Neurology,12,9,,1823,1833,0,10.1002/acn3.70106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010700570&doi=10.1002%2Facn3.70106&partnerID=40&md5=21227fcb0f7a9edaca9aa44f3d5f73e3,"Objective: Reliable biomarkers are essential for tracking disease progression and advancing treatments for multiple system atrophy (MSA). In this study, we propose the MSA Atrophy Index (MSA-AI), a novel composite volumetric measure to distinguish MSA from related disorders and monitor disease progression. Methods: Seventeen participants with an initial diagnosis of probable MSA were enrolled in the longitudinal bioMUSE study and underwent 3T MRI, biofluid analysis, and clinical assessments at baseline, 6, and 12 months. Final diagnoses were determined after 12 months using clinical progression, imaging, and fluid biomarkers. Ten participants retained an MSA diagnosis, while five were reclassified as either Parkinson disease (PD, n = 4) or dementia with Lewy bodies (DLB, n = 1). Cross-sectional comparisons included additional MSA cases (n = 26), healthy controls (n = 23), pure autonomic failure (n = 23), PD (n = 56), and DLB (n = 8). Lentiform nucleus, cerebellum, and brainstem volumes were extracted using deep learning-based segmentation. Z-scores were computed using a normative dataset (n = 469) and integrated into the MSA-AI. Group differences were tested with linear regression; longitudinal changes and clinical correlations were assessed using mixed-effects models and Spearman correlations. Results: MSA patients exhibited significantly lower MSA-AI scores compared to all other diagnostic groups (p < 0.001). The MSA-AI effectively distinguished MSA from related synucleinopathies, correlated with baseline clinical severity (ρ = −0.57, p < 0.001), and predicted disease progression (ρ = −0.55, p = 0.03). Longitudinal reductions in MSA-AI were associated with worsening clinical scores over 12 months (ρ = −0.61, p = 0.01). Interpretation: The MSA-AI is a promising imaging biomarker for diagnosis and monitoring disease progression in MSA. These findings require validation in larger, independent cohorts. © 2025 The Author(s). Annals of Clinical and Translational Neurology published by Wiley Periodicals LLC on behalf of American Neurological Association.",atrophy; biomarker; imaging; MRI; MSA; progression,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105010700570
"Trujillo, P.; O'Rourke, K.R.; Roman, O.C.; Song, A.K.; Hett, K.; Cooper, A.; Black, B.K.; Donahue, M.J.; Shibao, C.A.; Biaggioni, I.; Claassen, D.O.","Trujillo, Paula (57038630300); O'Rourke, Kaitlyn R. (59514935200); Roman, Olivia C. (57193396548); Song, Alexander K. (57383924900); Hett, Kilian (57191710308); Cooper, Amy (59515129500); Black, Bonnie K. (8067405300); Donahue, Manus Joseph (7102453283); Shibao, Cyndya A. (8935088100); Biaggioni, Italo O. (7005540023); Claassen, Daniel O. (22978763800)",57038630300; 59514935200; 57193396548; 57383924900; 57191710308; 59515129500; 8067405300; 7102453283; 8935088100; 7005540023; 22978763800,Central Involvement in Pure Autonomic Failure: Insights from Neuromelanin-Sensitive Magnetic Resonance Imaging and 18F-Fluorodopa-Positron Emission Tomography,2025,Movement Disorders,40,4,,716,726,2,10.1002/mds.30119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215100441&doi=10.1002%2Fmds.30119&partnerID=40&md5=e3be000ab2d72b50dde0e3f232c6132d,"Background: Central synucleinopathies, including Parkinson's disease (PD), dementia with Lewy bodies (DLB), and multiple system atrophy (MSA), involve alpha-synuclein accumulation and dopaminergic cell loss in the substantia nigra (SN) and locus coeruleus (LC). Pure autonomic failure (PAF), a peripheral synucleinopathy, often precedes central synucleinopathies. Objectives: To assess early brain involvement in PAF using neuromelanin-sensitive magnetic resonance imaging (NM-MRI) and fluorodopa-positron emission tomography (FDOPA-PET), and to determine whether PAF patients with a high likelihood ratio (LR) for conversion to a central synucleinopathy exhibit reduced NM-MRI contrast in the LC and SN compared with controls and low-LR patients. Methods: Participants with PAF (n = 23) were categorized as high-LR (n = 13) or low-LR (n = 10) for conversion to central synucleinopathy. Additional participants included PD (n = 22), DLB (n = 8), and age- and sex-matched healthy controls (n = 23). NM-MRI at 3 T was used to quantify contrast ratios in the LC and SN, while FDOPA-PET measured presynaptic dopamine synthesis. Linear regression analyses, adjusted for age and sex, were used to compare NM-MRI contrast across groups. Results: High-LR PAF patients showed reduced contrast in the LC and SN compared with controls and low-LR PAF patients, with values similar to PD and DLB. The NM-MRI contrast in the SN correlated with dopamine uptake in the striatum. Longitudinal imaging in PAF patients (n = 6) demonstrated reduced NM-MRI and PET values in individuals who developed central synucleinopathies. Conclusions: NM-MRI and FDOPA-PET may serve as potential biomarkers for early brain involvement and predicting progression to central synucleinopathies in PAF and could help identify patients for early intervention. © 2025 The Author(s). Movement Disorders published by Wiley Periodicals LLC on behalf of International Parkinson and Movement Disorder Society. © 2025 The Author(s). Movement Disorders published by Wiley Periodicals LLC on behalf of International Parkinson and Movement Disorder Society.",FDOPA; MRI; neuromelanin; phenoconversion; pure autonomic failure; synucleinopathies,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85215100441
"Aumann, M.A.; Lee, S.J.; Song, A.K.; O’Rourke, K.R.; Trujillo, P.; Yan, Y.; Kang, H.; Claassen, D.O.","Aumann, Megan A. (57215962377); Lee, Sean J. (57320988500); Song, Alexander K. (57383924900); O’Rourke, Kaitlyn R. (59757490800); Trujillo, Paula (57038630300); Yan, Yan (57222296430); Kang, Hakmook (54915922800); Claassen, Daniel O. (22978763800)",57215962377; 57320988500; 57383924900; 59757490800; 57038630300; 57222296430; 54915922800; 22978763800,Behavioral Effects of Stimulated Dopamine Release and D2-like Receptor Displacement in Parkinson’s Patients with Impulse-Control Disorder,2025,International Journal of Molecular Sciences,26,8,3866,,,0,10.3390/ijms26083866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003733861&doi=10.3390%2Fijms26083866&partnerID=40&md5=1255468a5e4dc8d2a8277ea56bed291f,"Dysregulated dopamine (DA) release in the mesocorticolimbic circuit is noted in Parkinson’s disease (PD) patients with impulsive and compulsive behaviors (ICBs). However, the effect of acute DA release on mood, the localization of this process, and the phenotypic differences in patients with ICB remain unknown. We applied a placebo-controlled dextro-amphetamine (dAMPH) study in 20 PD patients: 10 with ICBs (PD-ICB) and 10 without (PD-C). Subjective mood experiences were measured with well-described self-reported measures including the Positive and Negative Affect Scale (PANAS), Drug Effects Questionnaire (DEQ), and Amphetamine Interview Rating Scale (AIRS). D2-like receptor availability was measured as non-displaceable binding potential (BP<inf>ND</inf>) using PET imaging with the high-affinity D2/3 receptor ligand [18F]-fallypride. Among all the subjects, dAMPH increased the PANAS positive, DEQ feel, DEQ high, and AIRS total scores. Increases in the PANAS positive and AIRS total scores were greater in the PD-ICB cohort. A mixed-effects model correlated these questionnaire changes with dAMPH-induced reductions in BP<inf>ND</inf> in the ventral striatum (VS), caudate, amygdala, and caudo-medial orbitofrontal cortex. The baseline caudate, VS, and amygdala BP<inf>ND</inf> positively correlated with lower on-dAMPH PANAS positive scores. Elevated mood symptoms of acute dAMPH administration in PD are linked to DA release in the mesocorticolimbic regions. Distinctions in behavioral effects among PD-ICB subjects emphasize that dysregulated striatal and extra-striatal DA-ergic networks alter mood responses to stimulated DA release and may also contribute to behavioral changes resulting from DA-targeting therapies in PD. © 2025 by the authors.",amphetamine; dopamine; fallypride; impulsivity; mood; Parkinson’s,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105003733861
"Leguizamon, M.; McKnight, C.D.; Ponzo, T.; Elenberger, J.; Eisma, J.J.; Song, A.K.; Trujillo, P.; Considine, C.M.; Donahue, M.J.; Claassen, D.O.; Hett, K.","Leguizamon, Melanie (58887842700); McKnight, Colin David (56090157600); Ponzo, Tristan (60401888200); Elenberger, Jason M. (57219782844); Eisma, Jarrod J. (57226161211); Song, Alexander K. (57383924900); Trujillo, Paula (57038630300); Considine, Ciaran Michael (48360961900); Donahue, Manus Joseph (7102453283); Claassen, Daniel O. (22978763800); Hett, Kilian (57191710308)",58887842700; 56090157600; 60401888200; 57219782844; 57226161211; 57383924900; 57038630300; 48360961900; 7102453283; 22978763800; 57191710308,Intravenous arachnoid granulation hypertrophy in patients with Parkinson disease,2024,npj Parkinson's Disease,10,1,177,,,0,10.1038/s41531-024-00796-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204561771&doi=10.1038%2Fs41531-024-00796-x&partnerID=40&md5=0ab37ac16bdde429db3e75c6d6f65892,"Intravenous arachnoid granulations (AGs) are protrusions of the arachnoid membrane into the venous lumen and function as contributors to the cerebrospinal fluid (CSF) flow circuit. Patients with Parkinson disease (PD) often present with accumulation of alpha synuclein. Previous works have provided evidence for neurofluid circulation dysfunction in neurodegenerative diseases associated with changes in CSF egress, which may have implications regarding AG morphology. The present study aims to investigate group differences in AG volumetrics between healthy and PD participants, as well as relationships between AG characteristics and clinical assessments. Generalized linear models revealed significant increases in AG volumetrics and number in PD compared to healthy controls. Partial Spearman-rank correlation analyses demonstrated significant relationships between AG metrics and motor and cognitive assessments. Finally, AG volumetrics were positively correlated with objective actigraphy measures of sleep dysfunction, but not self-report sleep symptoms. © The Author(s) 2024.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85204561771
"Wengler, K.; Trujillo, P.; Cassidy, C.M.; Horga, G.","Wengler, Kenneth (57028304500); Trujillo, Paula (57038630300); Cassidy, Clifford M. (13006291900); Horga, Guillermo (25641058400)",57028304500; 57038630300; 13006291900; 25641058400,Neuromelanin-sensitive MRI for mechanistic research and biomarker development in psychiatry,2024,Neuropsychopharmacology,50,1,,137,152,8,10.1038/s41386-024-01934-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201528182&doi=10.1038%2Fs41386-024-01934-y&partnerID=40&md5=e3dad2dcd869dab69b7fa13fd4370fcf,"Neuromelanin-sensitive MRI is a burgeoning non-invasive neuroimaging method with an increasing number of applications in psychiatric research. This MRI modality is sensitive to the concentration of neuromelanin, which is synthesized from intracellular catecholamines and accumulates in catecholaminergic nuclei including the dopaminergic substantia nigra and the noradrenergic locus coeruleus. Emerging data suggest the utility of neuromelanin-sensitive MRI as a proxy measure for variability in catecholamine metabolism and function, even in the absence of catecholaminergic cell loss. Given the importance of catecholamine function to several psychiatric disorders and their treatments, neuromelanin-sensitive MRI is ideally positioned as an informative and easy-to-acquire catecholaminergic index. In this review paper, we examine basic aspects of neuromelanin and neuromelanin-sensitive MRI and focus on its psychiatric applications in the contexts of mechanistic research and biomarker development. We discuss ongoing debates and state-of-the-art research into the mechanisms of the neuromelanin-sensitive MRI contrast, standardized protocols and optimized analytic approaches, and application of cutting-edge methods such as machine learning and artificial intelligence to enhance the feasibility and predictive power of neuromelanin-sensitive-MRI-based tools. We finally lay out important future directions to allow neuromelanin-sensitive-MRI to fulfill its potential as a key component of the research, and ultimately clinical, toolbox in psychiatry. © The Author(s), under exclusive licence to American College of Neuropsychopharmacology 2024.",,Review,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85201528182
"Trujillo, P.; Aumann, M.A.; Claassen, D.O.","Trujillo, Paula (57038630300); Aumann, Megan A. (57215962377); Claassen, Daniel O. (22978763800)",57038630300; 57215962377; 22978763800,Reply: Neuromelanin? MRI of catecholaminergic neurons,2024,Brain,147,3,,E27,E28,4,10.1093/brain/awad394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186624631&doi=10.1093%2Fbrain%2Fawad394&partnerID=40&md5=0d31fffd948d4efb9364b11ed70e0e9d,[No abstract available],,Letter,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85186624631
"Trujillo, P.; Aumann, M.A.; Claassen, D.O.","Trujillo, Paula (57038630300); Aumann, Megan A. (57215962377); Claassen, Daniel O. (22978763800)",57038630300; 57215962377; 22978763800,Neuromelanin-sensitive MRI as a promising biomarker of catecholamine function,2024,Brain,147,2,,337,351,43,10.1093/brain/awad300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178367181&doi=10.1093%2Fbrain%2Fawad300&partnerID=40&md5=a6e9b29ed33f16c88da6512a630c0442,"Disruptions to dopamine and noradrenergic neurotransmission are noted in several neurodegenerative and psychiatric disorders. Neuromelanin-sensitive (NM)-MRI offers a non-invasive approach to visualize and quantify the structural and functional integrity of the substantia nigra and locus coeruleus. This method may aid in the diagnosis and quantification of longitudinal changes of disease and could provide a stratification tool for predicting treatment success of pharmacological interventions targeting the dopaminergic and noradrenergic systems. Given the growing clinical interest in NM-MRI, understanding the contrast mechanisms that generate this signal is crucial for appropriate interpretation of NM-MRI outcomes and for the continued development of quantitative MRI biomarkers that assess disease severity and progression. To date, most studies associate NM-MRI measurements to the content of the neuromelanin pigment and/or density of neuromelanin-containing neurons, while recent studies suggest that the main source of the NM-MRI contrast is not the presence of neuromelanin but the high-water content in the dopaminergic and noradrenergic neurons. In this review, we consider the biological and physical basis for the NM-MRI contrast and discuss a wide range of interpretations of NM-MRI. We describe different acquisition and image processing approaches and discuss how these methods could be improved and standardized to facilitate large-scale multisite studies and translation into clinical use. We review the potential clinical applications in neurological and psychiatric disorders and the promise of NM-MRI as a biomarker of disease, and finally, we discuss the current limitations of NM-MRI that need to be addressed before this technique can be utilized as a biomarker and translated into clinical practice and offer suggestions for future research. © 2023 The Author(s). Published by Oxford University Press on behalf of the Guarantors of Brain. All rights reserved.",catecholamine; dopamine; MRI; neuromelanin; noradrenaline,Review,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85178367181
"Stark, A.J.; Song, A.K.; Petersen, K.J.; Hay, K.R.; Lin, Y.-C.; Trujillo, P.; Kang, H.; Collazzo, J.M.; Donahue, M.J.; Zald, D.H.; Claassen, D.O.","Stark, Adam J. (57194524173); Song, Alexander K. (57383924900); Petersen, Kalen J. (57194521578); Hay, Kaitlyn R. (57222293471); Lin, Yachen (57196438977); Trujillo, Paula (57038630300); Kang, Hakmook (54915922800); Collazzo, Jenna M. (58764239900); Donahue, Manus Joseph (7102453283); Zald, David Harold (53880947700); Claassen, Daniel O. (22978763800)",57194524173; 57383924900; 57194521578; 57222293471; 57196438977; 57038630300; 54915922800; 58764239900; 7102453283; 53880947700; 22978763800,Accentuated paralimbic and reduced mesolimbic D2/3-impulsivity associations in Parkinson’s disease,2023,Journal of Neuroscience,43,50,,,,3,10.1523/JNEUROSCI.1037-23.2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179814494&doi=10.1523%2FJNEUROSCI.1037-23.2023&partnerID=40&md5=bc135b3e5b8bf2eee90f13287b2767b4,"Impulsivity is a behavioral trait that is elevated in many neuropsychiatric disorders. Parkinson’s disease (PD) patients can exhibit a specific pattern of reward-seeking impulsive-compulsive behaviors (ICBs), as well as more subtle changes to generalized trait impulsivity. Prior studies in healthy controls (HCs) suggest that trait impulsivity is regulated by D<inf>2/3</inf> autoreceptors in mesocorticolimbic circuits. While altered D<inf>2/3</inf> binding is noted in ICB+ PD patients, there is limited prior assessment of the trait impulsivity-D<inf>2/3</inf> relationship in PD, and no prior direct comparison with patterns in HCs. We examined 54 PD (36M; 18F) and 31 sex- and age-matched HC (21M; 10F) subjects using [18F]fallypride, a high-affinity D<inf>2/3</inf> receptor ligand, to measure striatal and extrastriatal D<inf>2/3</inf> nondisplaceable binding potential (BP<inf>ND</inf>). Subcortical and cortical assessment exclusively utilized region-of-interest or exploratory-voxelwise methods, respectively. All completed the Barratt Impulsiveness Scale (BIS-11), a measure of trait impulsivity. Subcortical region-of-interest analyses indicated a negative relationship between trait impulsivity and D<inf>2/3</inf> BP<inf>ND</inf> in the ventral striatum and amygdala of HCs but not in PD. By contrast, voxelwise methods demonstrated a positive trait impulsivity-D<inf>2/3</inf> BP<inf>ND</inf> correlation in ventral frontal olfactocentric-paralimbic cortex of subjects with PD but not HCs. Subscale analysis also highlighted different aspects of impulsivity, with significant interactions between group and motor impulsivity in the ventral striatum, and attentional impulsivity in the amygdala and frontal paralimbic cortex. These results suggest that dopamine functioning in distinct regions of the mesocorticolimbic circuit influence aspects of impulsivity, with the relative importance of regional dopamine functions shifting in the neuropharmacological context of PD. © © 2023 the authors.",dopamine; impulsivity; mesocorticolimbic; paralimbic; Parkinson’s disease; PET,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85179814494
"Mann, L.G.; Servant, M.; Hay, K.R.; Song, A.K.; Trujillo, P.; Yan, B.; Kang, H.; Zald, D.H.; Donahue, M.J.; Logan, G.D.; Claassen, D.O.","Mann, Leah G. (57383277300); Servant, Mathieu (56128100100); Hay, Kaitlyn R. (57222293471); Song, Alexander K. (57383924900); Trujillo, Paula (57038630300); Yan, Bailu (58671405400); Kang, Hakmook (54915922800); Zald, David Harold (53880947700); Donahue, Manus Joseph (7102453283); Logan, Gordon D. (16227851600); Claassen, Daniel O. (22978763800)",57383277300; 56128100100; 57222293471; 57383924900; 57038630300; 58671405400; 54915922800; 53880947700; 7102453283; 16227851600; 22978763800,The Role of a Dopamine-Dependent Limbic–Motor Network in Sensory Motor Processing in Parkinson Disease,2023,Journal of Cognitive Neuroscience,35,11,,1806,1822,7,10.1162/jocn_a_02048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175270588&doi=10.1162%2Fjocn_a_02048&partnerID=40&md5=8889d8cd2eba158da98d4576a0b7c6c4,"Limbic and motor integration is enabled by a mesial temporal to motor cortex network. Parkinson disease (PD) is characterized by a loss of dorsal striatal dopamine but relative preservation of mesolimbic dopamine early in disease, along with changes to motor action control. Here, we studied 47 patients with PD using the Simon conflict task and [18F]fallypride PET imaging. Additionally, a cohort of 16 patients participated in a single-blinded dextroamphetamine (dAMPH) study. Task performance was evaluated using the diffusion model for conflict tasks, which allows for an assessment of interpretable action control processes. First, a voxel-wise examination disclosed a negative relationship, such that longer non-decision time is associated with reduced D<inf>2</inf>-like binding potential (BP<inf>ND</inf>) in the bilateral putamen, left globus pallidus, and right insula. Second, an ROI analysis revealed a positive relationship, such that shorter non-decision time is associated with reduced D<inf>2</inf>-like BP<inf>ND</inf> in the amygdala and ventromedial OFC. The difference in non-decision time between off-dAMPH and on-dAMPH trials was positively associated with D<inf>2</inf>-like BP<inf>ND</inf> in the globus pallidus. These findings support the idea that dysfunction of the traditional striatal–motor loop underlies action control deficits but also suggest that a compensatory parallel limbic–motor loop regulates motor output. © 2023 Massachusetts Institute of Technology.",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85175270588
"Trujillo, P.; Darby, R.R.","Trujillo, Paula (57038630300); Darby, Richard Ryan (56399126900)",57038630300; 56399126900,The Cerebellum as the Central Hub of a Widespread Network in Essential Tremor,2023,Neurology,101,15,,639,640,6,10.1212/WNL.0000000000207778,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175072616&doi=10.1212%2FWNL.0000000000207778&partnerID=40&md5=30fd2809ca22bc304646991042b851c0,[No abstract available],,Editorial,Final,,Scopus,2-s2.0-85175072616
